accuracy,f1,precision,recall,model,dataset_type,dataset_size,lang,time,GPU
0.862727,0.785816,0.683951,0.923333,xlm-roberta-base,computers,small,ENG,809,T4
0.848182,0.76512,0.6618,0.906667,xlm-roberta-base,computers,small,ENG,841,T4
0.938182,0.890323,0.8625,0.92,xlm-roberta-base,computers,medium,ENG,1669,T4
0.937273,0.889952,0.853211,0.93,xlm-roberta-base,computers,medium,ENG,1705,T4
0.938182,0.890675,0.860248,0.923333,xlm-roberta-base,computers,medium,ENG,1682,T4
0.963636,0.933555,0.930464,0.936667,xlm-roberta-base,computers,large,ENG,6684,T4
0.965455,0.937705,0.922581,0.953333,xlm-roberta-base,computers,large,ENG,6658,T4
0.966364,0.939044,0.928339,0.95,xlm-roberta-base,computers,large,ENG,6675,T4
0.901818,0.833333,0.775862,0.9,xlm-roberta-base,cameras,small,ENG,822,T4
0.892727,0.825444,0.742021,0.93,xlm-roberta-base,cameras,small,ENG,933,T4
0.855455,0.783673,0.662069,0.96,xlm-roberta-base,cameras,small,ENG,954,T4
0.920909,0.863422,0.816024,0.916667,xlm-roberta-base,cameras,medium,ENG,1517,T4
0.935455,0.885299,0.858934,0.913333,xlm-roberta-base,cameras,medium,ENG,1501,T4
0.939091,0.895149,0.843658,0.953333,xlm-roberta-base,cameras,medium,ENG,1500,T4
0.957273,0.921008,0.928814,0.913333,xlm-roberta-base,cameras,large,ENG,5444,T4
0.958182,0.922297,0.934932,0.91,xlm-roberta-base,cameras,large,ENG,5012,T4
0.96,0.924915,0.947552,0.903333,xlm-roberta-base,cameras,large,ENG,5222,T4
0.898182,0.832836,0.754054,0.93,xlm-roberta-base,watches,small,ENG,795,T4
0.910909,0.838816,0.827922,0.85,xlm-roberta-base,watches,small,ENG,818,T4
0.893636,0.823529,0.752066,0.91,xlm-roberta-base,watches,small,ENG,822,T4
0.933636,0.883943,0.844985,0.926667,xlm-roberta-base,watches,medium,ENG,1538,T4
0.938182,0.887417,0.881579,0.893333,xlm-roberta-base,watches,medium,ENG,1583,T4
0.944545,0.899174,0.891803,0.906667,xlm-roberta-base,watches,medium,ENG,1570,T4
0.965455,0.934932,0.961268,0.91,xlm-roberta-base,watches,large,ENG,6105,T4
0.965455,0.936242,0.942568,0.93,xlm-roberta-base,watches,large,ENG,6014,T4
0.967273,0.939189,0.952055,0.926667,xlm-roberta-base,watches,large,ENG,6105,T4
0.864545,0.779911,0.700265,0.88,xlm-roberta-base,shoes,small,ENG,575,T4
0.847273,0.761364,0.663366,0.893333,xlm-roberta-base,shoes,small,ENG,604,T4
0.860909,0.769925,0.70137,0.853333,xlm-roberta-base,shoes,small,ENG,598,T4
0.909091,0.83871,0.8125,0.866667,xlm-roberta-base,shoes,medium,ENG,1031,T4
0.907273,0.831683,0.823529,0.84,xlm-roberta-base,shoes,medium,ENG,1096,T4
0.879091,0.789223,0.752266,0.83,xlm-roberta-base,shoes,medium,ENG,1057,T4
0.958182,0.922297,0.934932,0.91,xlm-roberta-base,shoes,large,ENG,3324,T4
0.95,0.907563,0.915254,0.9,xlm-roberta-base,shoes,large,ENG,3286,T4
0.952727,0.910345,0.942857,0.88,xlm-roberta-base,shoes,large,ENG,3322,T4
